"colBoth.protein"	"colBoth.count"
"548"	"B2572"	2
"549"	"B2573"	4
"550"	"B2576"	3
"551"	"B2581"	4
"552"	"B2592"	2
"553"	"B2599"	2
"554"	"B2600"	3
"555"	"B2606"	14
"556"	"B2607"	5
"557"	"B2608"	2
"558"	"B2609"	4
"559"	"B2610"	7
"560"	"B2614"	5
"561"	"B2616"	7
"562"	"B2662"	2
"563"	"B2675"	3
"564"	"B2678"	3
"565"	"B2699"	25
"566"	"B2704"	2
"567"	"B2719"	6
"568"	"B2720"	2
"569"	"B2728"	3
"570"	"B2729"	4
"571"	"B2730"	5
"572"	"B2731"	3
"573"	"B2733"	6
"574"	"B2741"	8
"575"	"B2742"	3
"576"	"B2748"	4
"577"	"B2751"	4
"578"	"B2752"	6
"579"	"B2762"	6
"580"	"B2763"	5
"581"	"B2779"	8
"582"	"B2780"	4
"583"	"B2781"	2
"584"	"B2784"	4
"585"	"B2786"	10
"586"	"B2800"	3
"587"	"B2801"	3
"588"	"B2802"	5
"589"	"B2819"	3
"590"	"B2820"	4
"591"	"B2821"	3
"592"	"B2827"	3
"593"	"B2831"	3
"594"	"B2837"	8
"595"	"B2866"	3
"596"	"B2867"	5
"597"	"B2868"	4
"598"	"B2892"	4
"599"	"B2893"	2
"600"	"B2894"	2
"601"	"B2904"	2
"602"	"B2907"	4
"603"	"B2913"	6
"604"	"B2914"	3
"605"	"B2916"	7
"606"	"B2922"	5
"607"	"B2924"	3
"608"	"B2925"	3
"609"	"B2926"	11
"610"	"B2927"	2
"611"	"B2934"	2
"612"	"B2935"	3
"613"	"B2938"	3
"614"	"B2942"	7
"615"	"B2962"	3
"616"	"B2963"	3
"617"	"B2976"	2
"618"	"B2978"	2
"619"	"B2994"	2
"620"	"B3005"	3
"621"	"B3008"	2
"622"	"B3018"	2
"623"	"B3019"	8
"624"	"B3020"	7
"625"	"B3025"	6
"626"	"B3026"	5
"627"	"B3030"	4
"628"	"B3035"	6
"629"	"B3046"	7
"630"	"B3047"	9
"631"	"B3061"	2
"632"	"B3066"	11
"633"	"B3067"	18
"634"	"B3072"	4
"635"	"B3075"	2
"636"	"B3076"	3
"637"	"B3092"	6
"638"	"B3093"	2
"639"	"B3094"	3
"640"	"B3114"	5
"641"	"B3117"	3
"642"	"B3131"	3
"643"	"B3132"	2
"644"	"B3133"	6
"645"	"B3134"	2
"646"	"B3135"	3
"647"	"B3136"	3
"648"	"B3139"	3
"649"	"B3143"	6
"650"	"B3144"	8
"651"	"B3162"	5
"652"	"B3163"	5
"653"	"B3164"	8
"654"	"B3165"	4
"655"	"B3167"	3
"656"	"B3168"	9
"657"	"B3169"	17
"658"	"B3170"	2
"659"	"B3172"	6
"660"	"B3175"	2
"661"	"B3176"	6
"662"	"B3177"	4
"663"	"B3178"	6
"664"	"B3183"	3
"665"	"B3185"	6
"666"	"B3186"	6
"667"	"B3189"	3
"668"	"B3202"	8
"669"	"B3210"	9
"670"	"B3212"	2
"671"	"B3213"	2
"672"	"B3216"	8
"673"	"B3223"	2
"674"	"B3228"	6
"675"	"B3230"	13
"676"	"B3231"	14
"677"	"B3234"	2
"678"	"B3236"	5
"679"	"B3250"	2
"680"	"B3251"	6
"681"	"B3255"	2
"682"	"B3265"	4
"683"	"B3266"	4
"684"	"B3269"	4
"685"	"B3270"	11
"686"	"B3290"	2
"687"	"B3294"	19
"688"	"B3295"	41
"689"	"B3296"	18
"690"	"B3297"	7
"691"	"B3298"	27
"692"	"B3300"	23
"693"	"B3301"	5
"694"	"B3302"	4
"695"	"B3303"	28
"696"	"B3304"	10
"697"	"B3305"	24
"698"	"B3306"	15
"699"	"B3307"	7
"700"	"B3308"	10
"701"	"B3309"	8
"702"	"B3310"	7
"703"	"B3311"	12
"704"	"B3312"	3
"705"	"B3313"	23
"706"	"B3314"	19
"707"	"B3315"	19
"708"	"B3316"	15
"709"	"B3317"	20
"710"	"B3318"	18
"711"	"B3319"	32
"712"	"B3320"	26
"713"	"B3321"	27
"714"	"B3339"	6
"715"	"B3340"	16
"716"	"B3341"	25
"717"	"B3342"	15
"718"	"B3357"	3
"719"	"B3359"	3
"720"	"B3360"	6
"721"	"B3366"	3
"722"	"B3367"	3
"723"	"B3385"	2
"724"	"B3386"	3
"725"	"B3389"	6
"726"	"B3390"	2
"727"	"B3396"	6
"728"	"B3397"	2
"729"	"B3404"	3
"730"	"B3405"	19
"731"	"B3417"	3
"732"	"B3418"	6
"733"	"B3423"	4
"734"	"B3424"	3
"735"	"B3425"	3
"736"	"B3426"	6
"737"	"B3428"	6
"738"	"B3429"	4
"739"	"B3430"	4
"740"	"B3431"	4
"741"	"B3437"	3
