"test5.gene"	"test5.count"
"768"	"CTH1"	35
"769"	"CTI6"	297
"770"	"CTK1"	412
"771"	"CTK2"	193
"772"	"CTK3"	207
"773"	"CTL1"	33
"774"	"CTP1"	81
"775"	"CTR1"	44
"776"	"CTR2"	27
"777"	"CTR9"	192
"778"	"CTS1"	17
"779"	"CTS2"	10
"780"	"CTT1"	35
"781"	"CUE1"	149
"782"	"CUE2"	12
"783"	"CUE3"	35
"784"	"CUE4"	20
"785"	"CUE5"	61
"786"	"CUL3"	14
"787"	"CUP1-1"	6
"788"	"CUP2"	30
"789"	"CUP9"	76
"790"	"CUR1"	13
"791"	"CUS1"	68
"792"	"CUS2"	28
"793"	"CUZ1"	66
"794"	"CWC15"	41
"795"	"CWC2"	74
"796"	"CWC21"	90
"797"	"CWC22"	37
"798"	"CWC23"	36
"799"	"CWC24"	13
"800"	"CWC25"	40
"801"	"CWC27"	35
"802"	"CWH41"	200
"803"	"CWH43"	113
"804"	"CWP1"	8
"805"	"CWP2"	25
"806"	"CYB2"	29
"807"	"CYB5"	82
"808"	"CYC1"	84
"809"	"CYC2"	92
"810"	"CYC3"	27
"811"	"CYC7"	22
"812"	"CYC8"	134
"813"	"CYK3"	219
"814"	"CYM1"	35
"815"	"CYR1"	76
"816"	"CYS3"	185
"817"	"CYS4"	145
"818"	"CYT1"	230
"819"	"CYT2"	64
"820"	"DAD1"	36
"821"	"DAD2"	65
"822"	"DAD3"	17
"823"	"DAD4"	38
"824"	"DAK1"	45
"825"	"DAK2"	16
"826"	"DAL1"	26
"827"	"DAL2"	21
"828"	"DAL3"	18
"829"	"DAL4"	16
"830"	"DAL5"	24
"831"	"DAL7"	8
"832"	"DAL80"	58
"833"	"DAL81"	92
"834"	"DAL82"	61
"835"	"DAM1"	119
"836"	"DAN4"	22
"837"	"DAP1"	53
"838"	"DAP2"	61
"839"	"DAS1"	26
"840"	"DAS2"	12
"841"	"DAT1"	26
"842"	"DBF2"	342
"843"	"DBF20"	45
"844"	"DBF4"	144
"845"	"DBP1"	42
"846"	"DBP10"	69
"847"	"DBP2"	81
"848"	"DBP3"	144
"849"	"DBP5"	202
"850"	"DBP6"	37
"851"	"DBP7"	132
"852"	"DBP8"	59
"853"	"DBP9"	80
"854"	"DBR1"	65
"855"	"DCC1"	422
"856"	"DCD1"	19
"857"	"DCG1"	4
"858"	"DCI1"	25
"859"	"DCK1"	34
